00:00:00.000	LM ↓
00:00:00.000	LM ↑
00:00:00.000	LM ↑
00:00:00.000	RM ↓
00:00:00.000	RM ↑
00:00:00.000	SM ↓
00:00:00.000	SM ↓
00:00:00.000	SM ↑
00:00:00.000	SM ↑
00:00:00.000	SM ↑
00:00:00.000	Command+C
00:00:00.000	s
00:00:00.000	s
00:00:00.000	s
00:00:00.000	s
00:00:00.000	s
00:00:00.000	s
00:00:00.000	s
00:00:00.000	s
00:00:00.000	s
00:00:00.000	s
00:00:00.000	s
00:00:00.000	LM ↓
00:00:00.000	LM ↑
00:00:01.501	s
00:00:02.000	s
00:00:02.084	s
00:00:02.167	s
00:00:02.250	s
00:00:02.334	s
00:00:02.418	s
00:00:02.500	s
00:00:02.584	s
00:00:02.667	s
00:00:02.752	s
00:00:03.952	s
00:00:04.317	s
00:00:04.667	s
00:00:05.085	s
00:00:18.134	LM ↓
18:41:22.963	LM ↑
18:41:28.248	d
18:41:28.747	d
18:41:28.830	d
18:41:28.930	d
18:41:29.013	d
18:41:29.097	d
18:41:29.180	d
18:41:29.263	d
18:41:29.347	d
18:41:29.430	d
18:41:29.513	d
18:41:29.597	d
18:41:29.680	d
18:41:29.763	d
18:41:29.847	d
18:41:29.931	d
18:41:30.013	d
18:41:30.097	d
18:41:30.180	d
18:41:30.263	d
